,summary,Wirtschaft,Russland,Politik,Quelle,Wetter,Gesellschaft,Other,Klimawandel,word
preisindex flüssiggas,8.021285330562078,-0.013861226823442088,-0.506192427661682,-0.06925601779798278,0.7978389150481395,-0.6304378633819521,-0.053016483727018365,-0.6664274999663359,-0.5485123109364558,preisindex flüssiggas
LNG,21.03119639771819,-0.36044968629385427,-0.42264557722116064,-0.15151419140504568,0.831151424505788,0.04796858802661114,-0.16508835968781269,-1.6303357034178088,-0.8471884283527131,LNG
flüssiggas lng,7.923034385751673,-0.036264254284227485,-0.5082455819094283,-0.07299124052587451,0.807315264557157,-0.6273800871635751,-0.05751934507958066,-0.6541030872380248,-0.54652946079354,flüssiggas lng
eingeführt,7.336120627365484,0.027745913661945114,-0.43697333251825665,-0.0024000174514866375,0.6870023620884687,-0.5540708590535735,0.0127648906435234,-0.5771390032987916,-0.4736491542119228,eingeführt
lng ein+führ,7.336120627365484,0.027745913661945114,-0.43697333251825665,-0.0024000174514866375,0.6870023620884687,-0.5540708590535735,0.0127648906435234,-0.5771390032987916,-0.4736491542119228,lng ein+führ
Einmal,8.817382750412337,0.04464644645496762,-0.31387782639852124,0.14722205710588135,0.3878759913417202,-0.5304111421104455,0.17687639739910907,-0.7610539109394806,-0.06726228086468568,Einmal
einmal mehr,8.702174510923875,0.04934598949680738,-0.30212985789926533,0.1588875752797723,0.3584197617534745,-0.5182537239111391,0.1884835103620977,-0.7479017634871092,-0.05898799815636635,einmal mehr
mehr darauf,6.2556787041310615,0.10294758647863068,-0.31885380566927196,0.11052300539270865,0.43690148926306605,-0.4209729762062746,0.12341097378530122,-0.41781846916178633,-0.34371305044802897,mehr darauf
ge…,8.583615189242737,-0.0016200527020008904,0.14613594195678636,-0.09922504954974878,0.24745206071690629,-0.5605786706574467,0.2387168256856005,-0.7341840007571336,-0.4646228617136461,ge…
darauf ge…,6.171797452072329,0.10489460858795324,-0.3115636537658868,0.11698782560894809,0.4192856290411293,-0.41138953506744025,0.1295239472370175,-0.40431894200795315,-0.3346147790185236,darauf ge…
+253,6.117436328872749,0.10585752649882475,-0.30702660964974693,0.12094527244013834,0.4081959988537884,-0.4052551241413268,0.13323578268366879,-0.3954719335228782,-0.3288184570145796,+253
ge… +253,6.117436328872749,0.10585752649882475,-0.30702660964974693,0.12094527244013834,0.4081959988537884,-0.4052551241413268,0.13323578268366879,-0.3954719335228782,-0.3288184570145796,ge… +253
+253 chars,6.066892880062941,0.10655191616849374,-0.30294050024028985,0.1244597932904773,0.39812495525159636,-0.39960411902712434,0.13650925115508106,-0.38717541791488685,-0.32349878224491035,+253 chars
energie+krise spd,12.381378293499626,-0.17913793294150315,-0.09491474079255569,0.3823810540524517,-0.07616659880569376,-0.4477094989340409,0.4670640351241723,0.1484689830674763,-0.32260004813635906,energie+krise spd
bemängelt,12.569589378212846,-0.16461326744418137,-0.07779273377435315,0.3997396554279568,-0.061417264218974955,-0.4370801650046786,0.40528299092841374,0.1454774820986149,-0.31098969860248815,bemängelt
spd be+mängel,12.569589378212846,-0.16461326744418137,-0.07779273377435315,0.3997396554279568,-0.061417264218974955,-0.4370801650046786,0.40528299092841374,0.1454774820986149,-0.31098969860248815,spd be+mängel
Regierungsinformationen,13.38372516039523,-0.13728746824848392,-0.042823125796365796,0.43513671802077974,-0.03326287272227945,-0.42107386896721016,0.2765824923394582,0.11568650295595154,-0.29223450906134946,Regierungsinformationen
be+mängel regierung+s+information,13.38372516039523,-0.13728746824848392,-0.042823125796365796,0.43513671802077974,-0.03326287272227945,-0.42107386896721016,0.2765824923394582,0.11568650295595154,-0.29223450906134946,be+mängel regierung+s+information
regierung+s+information gas+versorgung,26.553424549660846,-0.0670311082576567,0.07975735749686093,0.5516933186297233,0.04929056975275302,-0.4227132673770265,-0.14436396069875876,-0.44647108704941746,-0.28069132856630336,regierung+s+information gas+versorgung
gas+versorgung nan,9.533215522778898,-0.05950451041507705,0.011642389464899879,0.48700381543469695,-0.0021917760105778722,-0.30810207091532565,0.0615528937817306,-0.8391108966038359,-0.18827803897523676,gas+versorgung nan
nan when,20.252210030124544,0.03302554561090145,-0.16698055941456927,0.17165148398246038,-0.0236462937984288,0.45627056587633325,0.052622693991928544,-1.59259275016057,-0.4605132705341294,nan when
gas+versorgung wie,10.061254300500119,-0.11341427794190886,-0.042267378061932065,0.43309404790786515,-0.011142372482940427,-0.3620118384421575,0.007643126254898902,0.6155751214810982,-0.24218780650206861,gas+versorgung wie
wie gas+versorgung,26.98393991897286,-0.08311425518044628,0.06367421057407123,0.5356101717069336,0.04628462047767489,-0.43879641429981636,-0.18555512039884417,0.13803574008795944,-0.29677447548909314,wie gas+versorgung
Norden,16.336436005597673,-0.19269969010837956,-0.08675747497291864,0.39113263877071613,-0.060454409970006805,-0.4930732204311277,-0.10567460183959737,1.3721820614509703,-0.3605029785773489,Norden
gas+versorgung norden,16.336436005597673,-0.19269969010837956,-0.08675747497291864,0.39113263877071613,-0.060454409970006805,-0.4930732204311277,-0.10567460183959737,1.3721820614509703,-0.3605029785773489,gas+versorgung norden
bestellt,14.417131717364917,-0.16659633339715377,-0.06844534517292523,0.4095822836202417,-0.03232750933180051,-0.45576427747197074,-0.04257448099882967,1.1293029859593828,-0.3256741605112343,bestellt
norden be+stell,14.417131717364917,-0.16659633339715377,-0.06844534517292523,0.4095822836202417,-0.03232750933180051,-0.45576427747197074,-0.04257448099882967,1.1293029859593828,-0.3256741605112343,norden be+stell
SPD-Landtagsabgeordnete,11.562831056853655,-0.15630538247647977,-0.07616589462847423,0.40066093165060973,-0.015542795304752466,-0.4187032174702157,0.041043655426097045,0.9423497738742835,-0.29518320612496496,SPD-Landtagsabgeordnete
dazu spd-landtagsabgeordnet,11.562831056853655,-0.15630538247647977,-0.07616589462847423,0.40066093165060973,-0.015542795304752466,-0.4187032174702157,0.041043655426097045,0.9423497738742835,-0.29518320612496496,dazu spd-landtagsabgeordnet
Timmer,10.283121612892366,-0.15586857726304376,-0.08672063820725766,0.38823165534765214,-0.009945266377762127,-0.40136163228617927,0.07601635779747191,0.8923178766310419,-0.2823944005449152,Timmer
spd-landtagsabgeordnet timmer,10.283121612892366,-0.15586857726304376,-0.08672063820725766,0.38823165534765214,-0.009945266377762127,-0.40136163228617927,0.07601635779747191,0.8923178766310419,-0.2823944005449152,spd-landtagsabgeordnet timmer
Landesregierung,9.874852880761802,-0.1559233001528062,-0.09078010125421493,0.3832586433165245,-0.007905880494124851,-0.39515838152502664,0.08645855097257239,0.8788372332413663,-0.277944517187559,Landesregierung
timmer land+es+regierung,9.874852880761802,-0.1559233001528062,-0.09078010125421493,0.3832586433165245,-0.007905880494124851,-0.39515838152502664,0.08645855097257239,0.8788372332413663,-0.277944517187559,timmer land+es+regierung
befragt,10.056275427828666,-0.14523999534086793,-0.0772344350699804,0.3974701043551255,0.00126931956981915,-0.38895308011206053,0.06522163354411066,0.7962252810207947,-0.27048104872041684,befragt
land+es+regierung be+frag,10.056275427828666,-0.14523999534086793,-0.0772344350699804,0.3974701043551255,0.00126931956981915,-0.38895308011206053,0.06522163354411066,0.7962252810207947,-0.27048104872041684,land+es+regierung be+frag
Antworten,11.055712572909409,-0.16111882888201232,-0.08555605134074112,0.3906007009404122,0.12048169251459753,-0.4165276523650688,-0.007652219891344826,0.7319376108247141,-0.29485570895140584,Antworten
nach antwort,10.774723806351497,-0.13537456241989831,-0.05981178487862704,0.41634496740252624,0.0074302198848921535,-0.39078338590295464,0.018092046570769262,0.7576818772868282,-0.2691114424892918,nach antwort
antwort wiss,11.339366648815798,-0.13070174835315826,-0.05001034259074616,0.42688689162560595,0.009825054141223498,-0.39393744989774043,-0.01256664165088965,0.7496721891981785,-0.2701993042382357,antwort wiss
wiss kaum,11.917684642164723,-0.12653223955980702,-0.04103740919931767,0.4363801382253731,0.012039252135728616,-0.3970140000276486,-0.039642537746715334,0.7394710577396136,-0.27142131708428796,wiss kaum
kaum mehr,12.362010460490394,-0.12364156326144604,-0.034719977794017316,0.4429694297955112,0.01364233218000625,-0.39924142006475566,-0.05813627228691719,0.7304892724460746,-0.2723746686457448,kaum mehr
vorher,13.410903647138413,-0.11760036418706973,-0.021348655916958132,0.45665501215318666,0.01723444890311631,-0.4040022171478291,-0.09572570970809889,0.7060970403776133,-0.27455030547343967,vorher
mehr vorher,13.410903647138413,-0.11760036418706973,-0.021348655916958132,0.45665501215318666,0.01723444890311631,-0.4040022171478291,-0.09572570970809889,0.7060970403776133,-0.27455030547343967,mehr vorher
die spd,5.627438116333207,-0.11925551584265322,-0.11797822961253907,0.32270143618470154,-0.010015658557323568,-0.25403584846405053,0.03983694759051017,0.811594020173578,-0.16963364011746787,die spd
